layer,mean,std,min,max,l2_norm
conv1,-0.0016757926059653983,0.7688423246145248,-13.547514915466309,14.367666244506836,2198.2748413085938
layer1.0.conv1,-0.11665801238268614,0.47890331968665123,-6.72977352142334,5.5631818771362305,1409.5630187988281
layer1.0.conv2,-0.05910114152356982,0.3645031377673149,-5.790279865264893,6.674126625061035,1055.8543701171875
layer1.1.conv1,-0.2709985002875328,0.8250235542654991,-13.858296394348145,11.84027099609375,2482.4811096191406
layer1.1.conv2,-0.07331090606749058,0.2931419648230076,-3.986879587173462,3.7067768573760986,863.7417602539062
layer2.0.conv1,-0.2263682261109352,0.6542065590620041,-8.853384017944336,5.551072120666504,1400.1132507324219
layer2.0.conv2,-0.16364625468850136,0.3484444357454777,-3.085681200027466,2.699228286743164,778.5720901489258
layer2.0.downsample.0,-0.06041481997817755,0.3469109982252121,-4.264676570892334,3.784681558609009,712.1047821044922
layer2.1.conv1,-0.113983697257936,0.5587083101272583,-6.450218200683594,5.652771949768066,1153.1656341552734
layer2.1.conv2,-0.07549107912927866,0.17324347235262394,-2.5166637897491455,4.025126934051514,382.14704513549805
layer3.0.conv1,-0.31432775408029556,0.5749011784791946,-5.443454742431641,6.646688938140869,937.1041030883789
layer3.0.conv2,-0.12807967327535152,0.27819355577230453,-2.3468494415283203,4.350823879241943,438.08596420288086
layer3.0.downsample.0,-0.05174714094027877,0.16548347286880016,-1.8831905126571655,2.8817667961120605,247.9896640777588
layer3.1.conv1,-0.18876607716083527,0.35426338016986847,-3.6912076473236084,4.135839939117432,574.1315078735352
layer3.1.conv2,-0.0655807051807642,0.1090575885027647,-1.6214311122894287,1.9169305562973022,182.0055389404297
layer4.0.conv1,-0.13374219462275505,0.26636670902371407,-2.3924996852874756,3.9875097274780273,301.4486618041992
layer4.0.conv2,-0.05130507284775376,0.15196719765663147,-1.2773284912109375,2.889025926589966,162.22375106811523
layer4.0.downsample.0,-0.0356986946426332,0.09154016990214586,-1.2369763851165771,1.9977390766143799,99.37360382080078
layer4.1.conv1,-0.10294319689273834,0.22570938989520073,-2.546823501586914,4.8052568435668945,250.8872585296631
layer4.1.conv2,-0.010943981120362878,0.11341074388474226,-1.1337738037109375,2.0646324157714844,115.16799545288086
fc,-0.0004863744252361357,4.103677332401276,-7.330933570861816,20.122636795043945,144.87783432006836
