search_space,resolution,kernel_size,width_mult,depth_mult,accuracy,gflops,peak_activation_memory_mb
baseline,32,3,1.0,1.0,0.614,0.1891,9.13
SS1_ResWidth,28,3,0.5,1.0,0.541,0.0525,1.01
SS1_ResWidth,24,3,0.5,1.0,0.5329999999999999,0.0356,1.01
SS1_ResWidth,32,3,1.5,1.0,0.677,0.4197,2.03
SS1_ResWidth,32,3,1.0,1.0,0.605,0.1891,1.22
SS1_ResWidth,32,3,0.75,1.0,0.617,0.13,1.22
SS1_ResWidth,24,3,1.25,1.0,0.5760000000000001,0.1676,1.01
SS1_ResWidth,36,3,1.5,1.0,0.691,0.5658,2.57
SS1_ResWidth,24,3,1.0,1.0,0.56,0.1064,1.01
SS1_ResWidth,36,3,1.0,1.0,0.655,0.255,1.54
SS1_ResWidth,40,3,1.5,1.0,0.72,0.6558,3.17
SS1_ResWidth,48,3,1.0,1.0,0.76,0.4255,2.74
SS1_ResWidth,24,3,0.75,1.0,0.536,0.0732,1.01
SS1_ResWidth,36,3,0.35,1.0,0.5660000000000001,0.0493,1.01
SS1_ResWidth,32,3,0.5,1.0,0.589,0.0633,1.01
SS1_ResWidth,48,3,1.25,1.0,0.727,0.6705,3.66
SS1_ResWidth,24,3,0.35,1.0,0.49700000000000005,0.0206,1.01
SS1_ResWidth,40,3,0.35,1.0,0.5760000000000001,0.0571,1.01
SS1_ResWidth,28,3,0.35,1.0,0.544,0.0304,1.01
SS1_ResWidth,48,3,1.5,1.0,0.748,0.9443,4.57
SS1_ResWidth,32,3,1.25,1.0,0.644,0.298,1.62
SS2_KernelDepth,32,3,1.0,0.5,0.698,0.1216,1.22
SS2_KernelDepth,32,5,1.0,0.5,0.6579999999999999,0.1329,1.22
SS2_KernelDepth,32,7,1.0,0.75,0.637,0.1903,1.22
SS2_KernelDepth,32,3,1.0,1.25,0.636,0.2301,1.22
SS2_KernelDepth,32,5,1.0,0.75,0.634,0.165,1.22
SS2_KernelDepth,32,5,1.0,1.25,0.623,0.2551,1.22
SS2_KernelDepth,32,3,1.0,1.5,0.588,0.2981,1.22
SS2_KernelDepth,32,7,1.0,2.0,0.551,0.5114,1.22
SS2_KernelDepth,32,3,1.0,1.0,0.66,0.1891,1.22
SS2_KernelDepth,32,7,1.0,1.5,0.56,0.378,1.22
SS2_KernelDepth,32,3,1.0,2.0,0.594,0.3996,1.22
SS2_KernelDepth,32,7,1.0,0.5,0.6459999999999999,0.15,1.22
SS2_KernelDepth,32,3,1.0,0.75,0.6459999999999999,0.1481,1.22
SS3_ResDepth,28,3,1.0,0.5,0.443,0.102975616,1.2919921875
SS3_ResDepth,36,3,1.0,1.5,0.443,0.40802176,2.1357421875
SS3_ResDepth,48,3,1.0,1.5,0.35,0.670800896,3.796875
SS3_ResDepth,32,3,1.0,1.5,0.422,0.298149376,1.6875
SS3_ResDepth,24,3,1.0,1.0,0.424,0.106390016,0.94921875
SS3_ResDepth,36,3,1.0,2.0,0.284,0.542521088,2.1357421875
SS3_ResDepth,32,3,1.0,1.0,0.461,0.189115904,1.6875
SS3_ResDepth,32,3,1.0,2.0,0.404,0.399554048,1.6875
SS3_ResDepth,24,3,1.0,1.25,0.409,0.129463424,0.94921875
SS3_ResDepth,32,3,1.0,0.5,0.495,0.121570816,1.6875
SS3_ResDepth,48,3,1.0,0.75,0.513,0.333181952,3.796875
SS3_ResDepth,40,3,1.0,1.5,0.418,0.46584256,2.63671875
SS3_ResDepth,28,3,1.0,1.25,0.412,0.190957696,1.2919921875
SS3_ResDepth,36,3,1.0,1.0,0.468,0.254950912,2.1357421875
SS3_ResDepth,36,3,1.0,0.75,0.473,0.199956224,2.1357421875
SS3_ResDepth,28,3,1.0,2.0,0.386,0.335001728,1.2919921875
SS3_ResDepth,36,3,1.0,0.5,0.502,0.16638464,2.1357421875
SS3_ResDepth,48,3,1.0,2.0,0.316,0.898961408,3.796875
SS3_ResDepth,40,3,1.0,0.75,0.493,0.23138496,2.63671875
SS3_ResDepth,24,3,1.0,0.75,0.413,0.083316608,0.94921875
