resolution,kernel_size,width_mult,depth_mult,accuracy,gflops,peak_activation_memory_mb,num_parameters
28,3,1.0,0.5,0.443,0.102975616,1.2919921875,1666186
36,3,1.0,1.5,0.443,0.40802176,2.1357421875,4062042
48,3,1.0,1.5,0.35,0.670800896,3.796875,4062042
32,3,1.0,1.5,0.422,0.298149376,1.6875,4062042
24,3,1.0,1.0,0.424,0.106390016,0.94921875,2236682
36,3,1.0,2.0,0.284,0.542521088,2.1357421875,5085658
32,3,1.0,1.0,0.461,0.189115904,1.6875,2236682
32,3,1.0,2.0,0.404,0.399554048,1.6875,5085658
24,3,1.0,1.25,0.409,0.129463424,0.94921875,2744074
32,3,1.0,0.5,0.495,0.121570816,1.6875,1666186
48,3,1.0,0.75,0.513,0.333181952,3.796875,1729290
40,3,1.0,1.5,0.418,0.46584256,2.63671875,4062042
28,3,1.0,1.25,0.412,0.190957696,1.2919921875,2744074
36,3,1.0,1.0,0.468,0.254950912,2.1357421875,2236682
36,3,1.0,0.75,0.473,0.199956224,2.1357421875,1729290
28,3,1.0,2.0,0.386,0.335001728,1.2919921875,5085658
36,3,1.0,0.5,0.502,0.16638464,2.1357421875,1666186
48,3,1.0,2.0,0.316,0.898961408,3.796875,5085658
40,3,1.0,0.75,0.493,0.23138496,2.63671875,1729290
24,3,1.0,0.75,0.413,0.083316608,0.94921875,1729290
