length,intervention,ppl,tokens,loss_start,loss_tokens,prefix_len
256,baseline,7.8289707277343545,128,128,128,
256,prefix:whitespace:plen10,7.736884213358192,128,138,128,10.0
256,prefix:punctuation:plen10,7.941940345277774,128,138,128,10.0
256,prefix:random_words:plen10,8.1363475186811,128,138,128,10.0
256,prefix:instruction:plen10,8.274549279593652,128,138,128,10.0
256,prefix:whitespace:plen32,8.179832680584862,128,160,128,32.0
256,prefix:punctuation:plen32,7.9550200834321485,128,160,128,32.0
256,prefix:random_words:plen32,8.190706550383025,128,160,128,32.0
256,prefix:instruction:plen32,8.167783328477835,128,160,128,32.0
256,prefix:whitespace:plen64,8.871383954134641,128,192,128,64.0
256,prefix:punctuation:plen64,7.957174940762111,128,192,128,64.0
256,prefix:random_words:plen64,8.252502999054174,128,192,128,64.0
256,prefix:instruction:plen64,8.32540605073233,128,192,128,64.0
256,prefix:whitespace:plen128,10.340383400119867,128,256,128,128.0
256,prefix:punctuation:plen128,7.967306412576697,128,256,128,128.0
256,prefix:random_words:plen128,8.238635565504396,128,256,128,128.0
256,prefix:instruction:plen128,8.29181353742033,128,256,128,128.0
256,prefix:whitespace:plen256,18.928578585081766,128,384,128,256.0
256,prefix:punctuation:plen256,8.032023502918184,128,384,128,256.0
256,prefix:random_words:plen256,8.294463036648356,128,384,128,256.0
256,prefix:instruction:plen256,8.328731474924847,128,384,128,256.0
256,sinkpos0:eos,7.79706341167264,128,128,128,
256,sinkpos1:eos,7.937391553212591,128,128,128,
256,sinkpos0:exclamation,7.807670437141259,128,128,128,
256,sinkpos1:exclamation,8.011700641059454,128,128,128,
256,baseline,19.663517412231702,128,128,128,
256,prefix:whitespace:plen10,19.938982495550693,128,138,128,10.0
256,prefix:punctuation:plen10,19.699715061437722,128,138,128,10.0
256,prefix:random_words:plen10,19.855315336863892,128,138,128,10.0
256,prefix:instruction:plen10,19.155707587121512,128,138,128,10.0
256,prefix:whitespace:plen32,21.349080947396168,128,160,128,32.0
256,prefix:punctuation:plen32,19.704684879423777,128,160,128,32.0
256,prefix:random_words:plen32,20.02405249021868,128,160,128,32.0
256,prefix:instruction:plen32,19.215212919198994,128,160,128,32.0
256,prefix:whitespace:plen64,24.034672622612998,128,192,128,64.0
256,prefix:punctuation:plen64,19.73250704766731,128,192,128,64.0
256,prefix:random_words:plen64,19.930736316786227,128,192,128,64.0
256,prefix:instruction:plen64,19.2174120516374,128,192,128,64.0
256,prefix:whitespace:plen128,27.438957128535158,128,256,128,128.0
256,prefix:punctuation:plen128,19.74415906698462,128,256,128,128.0
256,prefix:random_words:plen128,19.83821920703649,128,256,128,128.0
256,prefix:instruction:plen128,19.326109665828515,128,256,128,128.0
256,prefix:whitespace:plen256,32.35583841847912,128,384,128,256.0
256,prefix:punctuation:plen256,19.728560286132776,128,384,128,256.0
256,prefix:random_words:plen256,19.714501368449078,128,384,128,256.0
256,prefix:instruction:plen256,19.500519436449583,128,384,128,256.0
256,sinkpos0:eos,19.63497794637074,128,128,128,
256,sinkpos1:eos,19.481355203472717,128,128,128,
256,sinkpos0:exclamation,19.50270937317687,128,128,128,
256,sinkpos1:exclamation,19.351210290423378,128,128,128,
256,baseline,14.45252115300806,128,128,128,
256,prefix:whitespace:plen10,15.102916297184738,128,138,128,10.0
256,prefix:punctuation:plen10,14.436090828346108,128,138,128,10.0
256,prefix:random_words:plen10,14.575788353692541,128,138,128,10.0
256,prefix:instruction:plen10,14.617971432948138,128,138,128,10.0
256,prefix:whitespace:plen32,16.006276529666238,128,160,128,32.0
256,prefix:punctuation:plen32,14.376453818453461,128,160,128,32.0
256,prefix:random_words:plen32,14.719634480345277,128,160,128,32.0
256,prefix:instruction:plen32,15.141822728239573,128,160,128,32.0
256,prefix:whitespace:plen64,17.010200447912958,128,192,128,64.0
256,prefix:punctuation:plen64,14.364914249260261,128,192,128,64.0
256,prefix:random_words:plen64,14.717072816208361,128,192,128,64.0
256,prefix:instruction:plen64,15.420911056280238,128,192,128,64.0
256,prefix:whitespace:plen128,19.35028757481054,128,256,128,128.0
256,prefix:punctuation:plen128,14.35790184312703,128,256,128,128.0
256,prefix:random_words:plen128,14.818534733935874,128,256,128,128.0
256,prefix:instruction:plen128,15.382736122831387,128,256,128,128.0
256,prefix:whitespace:plen256,27.905393628409215,128,384,128,256.0
256,prefix:punctuation:plen256,14.379559571878861,128,384,128,256.0
256,prefix:random_words:plen256,14.821064587883379,128,384,128,256.0
256,prefix:instruction:plen256,15.358761842602952,128,384,128,256.0
256,sinkpos0:eos,14.209295054812227,128,128,128,
256,sinkpos1:eos,14.254233459184295,128,128,128,
256,sinkpos0:exclamation,14.346319017664209,128,128,128,
