length,intervention,mean_ppl,std_ppl,delta_vs_baseline,n,loss_tokens,prefix_len,total_tokens
256,baseline,13.206553581600508,5.428845821182413,0.0,50,128,0,256
256,sinkpos0:eos,13.20903438054852,5.407718658682471,0.002480798948012,50,128,0,256
256,sinkpos0:exclamation,13.179553872413267,5.410077200741355,-0.0269997091872387,50,128,0,256
256,sinkpos1:eos,13.233172291776745,5.408768166577365,0.0266187101762351,50,128,0,256
256,sinkpos1:exclamation,13.204684762953004,5.429306611607141,-0.0018688186475035,50,128,0,256
256,prefix:instruction:plen10,13.354314071659426,5.4084504575166905,0.1477604900589177,50,128,10,266
256,prefix:punctuation:plen10,13.21283808787085,5.457071057534011,0.006284506270342,50,128,10,266
256,prefix:random_words:plen10,13.262719450736206,5.426345930502016,0.0561658691356985,50,128,10,266
256,prefix:whitespace:plen10,13.71879770097694,5.6425758575169365,0.5122441193764313,50,128,10,266
256,prefix:instruction:plen32,13.462037576116002,5.5028941360645245,0.2554839945154938,50,128,32,288
256,prefix:punctuation:plen32,13.224069205958962,5.463888209886031,0.0175156243584542,50,128,32,288
256,prefix:random_words:plen32,13.307995072651398,5.42346809418372,0.10144149105089,50,128,32,288
256,prefix:whitespace:plen32,14.688594928827234,6.049396159732298,1.4820413472267262,50,128,32,288
256,prefix:instruction:plen64,13.560876910666206,5.563923096407405,0.3543233290656982,50,128,64,320
256,prefix:punctuation:plen64,13.225265884645667,5.457290800356234,0.0187123030451612,50,128,64,320
256,prefix:random_words:plen64,13.309295663252456,5.399573426638638,0.1027420816519484,50,128,64,320
256,prefix:whitespace:plen64,15.860046166823986,6.474216220578121,2.6534925852234785,50,128,64,320
256,prefix:instruction:plen128,13.540001437297514,5.566959131377592,0.3334478556970062,50,128,128,384
256,prefix:punctuation:plen128,13.231955849625455,5.454666039633747,0.0254022680249477,50,128,128,384
256,prefix:random_words:plen128,13.314098445631362,5.406560690684716,0.1075448640308547,50,128,128,384
256,prefix:whitespace:plen128,18.18581058282,7.534546131854179,4.979257001219489,50,128,128,384
256,prefix:instruction:plen256,13.526460727508374,5.5488645494846685,0.3199071459078659,50,128,256,512
256,prefix:punctuation:plen256,13.246151700255764,5.4535886201274,0.039598118655256,50,128,256,512
256,prefix:random_words:plen256,13.34837718751796,5.411369882360608,0.1418236059174535,50,128,256,512
256,prefix:whitespace:plen256,26.86782160456432,12.618740104230064,13.661268022963808,50,128,256,512
512,baseline,11.687804525182017,4.125251689253246,0.0,50,128,0,512
512,sinkpos0:eos,11.67627684474856,4.12022248873356,-0.011527680433458,50,128,0,512
512,sinkpos0:exclamation,11.682428139344566,4.13034006025075,-0.0053763858374509,50,128,0,512
512,sinkpos1:eos,11.689288235053771,4.120794322207765,0.0014837098717563,50,128,0,512
512,sinkpos1:exclamation,11.686699371055868,4.126442792902012,-0.001105154126149,50,128,0,512
512,prefix:instruction:plen10,11.72055465171295,4.117286248721619,0.0327501265309333,50,128,10,522
512,prefix:punctuation:plen10,11.68278661750997,4.111511728460084,-0.0050179076720464,50,128,10,522
512,prefix:random_words:plen10,11.695084015691164,4.123955679708308,0.0072794905091484,50,128,10,522
