pos,attn_mass
0,0.26443943
1,0.01743816
2,0.007706125
3,0.0074845
4,0.006729891
5,0.008191901
6,0.0080494145
7,0.007086828
8,0.006267421
9,0.0053167217
10,0.0057749865
11,0.008994291
12,0.008854185
13,0.0070233424
14,0.007322659
15,0.006649668
16,0.004388884
17,0.007142156
18,0.0044965423
19,0.0050248182
20,0.0041790544
21,0.004373442
22,0.004074306
23,0.004876641
24,0.003984492
25,0.003934087
26,0.0039116126
27,0.003865931
28,0.0038306
29,0.003777727
30,0.0037382005
31,0.0036913408
32,0.003624816
33,0.0035711457
34,0.0035620024
35,0.0035282306
36,0.0034877798
37,0.0034482032
38,0.0034017023
39,0.0033920875
40,0.0033708187
41,0.0033458108
42,0.0032791516
43,0.0032302279
44,0.003188364
45,0.003180758
46,0.003192462
47,0.0031745518
48,0.0031461467
49,0.0031090442
50,0.0030579986
51,0.0030565236
52,0.003063286
53,0.003029531
54,0.0029907408
55,0.0029640598
56,0.0029199831
57,0.0029089693
58,0.0028766706
59,0.0028677895
60,0.0028647413
61,0.0028496166
62,0.002826641
63,0.0027949086
64,0.0027771855
65,0.002767115
66,0.0027421657
67,0.0027410814
68,0.002703127
69,0.0026888286
70,0.002676347
71,0.0026760276
72,0.0026512067
73,0.002616079
74,0.002583571
75,0.002550746
76,0.00253292
77,0.0025297264
78,0.0025206357
79,0.002492764
80,0.002496402
81,0.0024813279
82,0.0024874182
83,0.0024548313
84,0.0024455497
85,0.0024317976
86,0.0024118233
87,0.0023974774
88,0.0023774875
89,0.0023485918
90,0.0023602776
91,0.0023358623
92,0.002316068
93,0.0023041745
94,0.0022681942
95,0.0022813943
96,0.0022490316
97,0.002246723
98,0.0022189051
99,0.0022025872
100,0.0021628346
101,0.0021518546
102,0.0021405923
103,0.0021474536
104,0.0021945674
105,0.0021613238
106,0.0021364884
107,0.0021297808
108,0.0021039334
109,0.0020918627
110,0.0020891814
111,0.0020948015
112,0.002071165
113,0.0020643391
114,0.0020465278
115,0.0020256047
116,0.002020369
117,0.002011269
118,0.0019693235
119,0.0019631453
120,0.0019390072
121,0.0019477922
122,0.001934305
123,0.0019428576
124,0.0019182547
125,0.0019052573
126,0.0018799626
127,0.00186889
128,0.0019134083
129,0.001904473
130,0.0018748123
131,0.0018457847
132,0.0018054516
133,0.0017903493
134,0.0018045953
135,0.0018085563
136,0.0017929879
137,0.0017675138
138,0.0017595657
139,0.0017757451
140,0.0017568124
141,0.0017539375
142,0.001736067
143,0.001712783
144,0.0017076588
145,0.0017370632
146,0.0017388947
147,0.0017562616
148,0.0017376039
149,0.0017288998
150,0.0017099024
