length,intervention,mean_ppl,std_ppl,delta_vs_baseline,n,loss_tokens
256,baseline,13.206553581600508,5.428845821182413,0.0,50,128
256,prefix:instruction:plen10,13.354314071659426,5.4084504575166905,0.14776049005891778,50,128
256,prefix:instruction:plen128,13.540001437297514,5.566959131377592,0.3334478556970062,50,128
256,prefix:instruction:plen256,13.526460727508374,5.5488645494846685,0.31990714590786595,50,128
256,prefix:instruction:plen32,13.462037576116002,5.5028941360645245,0.25548399451549386,50,128
256,prefix:instruction:plen64,13.560876910666206,5.563923096407405,0.3543233290656982,50,128
256,prefix:punctuation:plen10,13.21283808787085,5.457071057534011,0.0062845062703420496,50,128
256,prefix:punctuation:plen128,13.231955849625455,5.454666039633747,0.025402268024947716,50,128
256,prefix:punctuation:plen256,13.246151700255764,5.4535886201274,0.03959811865525609,50,128
256,prefix:punctuation:plen32,13.224069205958962,5.463888209886031,0.017515624358454218,50,128
256,prefix:punctuation:plen64,13.225265884645669,5.457290800356234,0.01871230304516125,50,128
256,prefix:random_words:plen10,13.262719450736206,5.426345930502016,0.05616586913569854,50,128
256,prefix:random_words:plen128,13.314098445631362,5.406560690684716,0.10754486403085473,50,128
256,prefix:random_words:plen256,13.348377187517961,5.411369882360608,0.14182360591745358,50,128
256,prefix:random_words:plen32,13.307995072651398,5.42346809418372,0.10144149105089006,50,128
256,prefix:random_words:plen64,13.309295663252456,5.399573426638638,0.10274208165194842,50,128
256,prefix:whitespace:plen10,13.718797700976939,5.6425758575169365,0.5122441193764313,50,128
256,prefix:whitespace:plen128,18.185810582819997,7.534546131854179,4.979257001219489,50,128
256,prefix:whitespace:plen256,26.867821604564316,12.618740104230064,13.661268022963808,50,128
256,prefix:whitespace:plen32,14.688594928827234,6.049396159732298,1.4820413472267262,50,128
256,prefix:whitespace:plen64,15.860046166823986,6.474216220578121,2.6534925852234785,50,128
256,sinkpos0:eos,13.20903438054852,5.407718658682471,0.0024807989480120085,50,128
